source_id,designation,ra,dec,l,b,ecl_lon,ecl_lat,parallax,pmra,pmdec,phot_g_mean_mag,phot_bp_mean_mag,phot_rp_mean_mag,ra_error,dec_error,parallax_error,pmra_error,pmdec_error,ruwe,ag_gspphot,azero_gspphot,bp_g,bp_rp,distance_gspphot,ebpminrp_gspphot,g_rp,grvs_mag,grvs_mag_error,libname_gspphot,logg_gspphot,mh_gspphot,phot_bp_mean_flux,phot_bp_mean_flux_error,phot_g_mean_flux,phot_g_mean_flux_error,phot_rp_mean_flux,phot_rp_mean_flux_error,radial_velocity,radial_velocity_error,ref_epoch,teff_gspphot,vbroad,vbroad_error
65211145585822080,Gaia DR3 65211145585822080,56.6501811105859,23.965889143012152,166.6077523204936,-23.694053969359988,59.764484057606644,3.959184941642437,2.4550250125518254,-9.159695694333719,-7.094587396292956,18.792238,19.223028,17.280226,0.24052292,0.16629189,0.28263748,0.29874358,0.21661568,1.0699129,,,0.43078995,1.9428024,,,1.5120125,,,,,,279.3867376732463,31.901749,572.8639646905904,2.1019652,970.6611838874477,54.645622,,,2016.0,,,
65211145587780992,Gaia DR3 65211145587780992,56.64972601817595,23.966825124571223,166.60672877062672,-23.693641026399963,59.76428300444723,3.960189316202935,7.232270978962829,19.293091542047552,-44.06839315224453,13.736212,14.64295,12.7896185,0.018354148,0.012324204,0.021978041,0.021973943,0.016105747,1.0316483,0.4649,0.649,0.9067383,1.8533316,137.6756,0.2536,0.9465933,12.349662,0.04348577,MARCS,4.6289,0.0908,18977.39966859313,150.30777,60320.09363119805,116.261566,60717.04612119135,264.12833,12.356402,3.281551,2016.0,4099.0776,,
65211214305306112,Gaia DR3 65211214305306112,56.62096248327822,23.953735321077573,166.59509578205225,-23.721005033337452,59.735699320272786,3.9531820285980004,-0.4538790682842755,0.06787523964080838,-1.915720602900508,19.00921,19.640837,18.436699,0.2504854,0.17419052,0.30065373,0.34095466,0.22217487,1.0206165,,,0.6316261,1.2041378,,,0.5725117,,,,,,190.1437221941458,10.0350485,469.0965765767674,1.2133291,334.5635709746468,12.22871,,,2016.0,,,
65211248665426304,Gaia DR3 65211248665426304,56.63874116284589,23.965658919726188,166.59947263818844,-23.70125487311989,59.75420967672999,3.9612521255293522,-0.3228674338501286,0.9101570817585503,-3.0750618183772094,20.610888,20.468954,19.824965,0.9455461,0.6770409,1.1480757,1.5020788,0.9612493,1.0477871,,,-0.14193344,0.64398956,,,0.785923,,,,,,88.68198766144484,25.547161,107.29797280969358,0.9857093,93.14770959869148,8.323145,,,2016.0,,,
65211248666930432,Gaia DR3 65211248666930432,56.6392739434036,23.967603406206504,166.5984380579414,-23.699488344365715,59.755113194797644,3.963042544139496,1.5186680291055157,5.772818205487699,-12.216473662334845,15.117565,15.701434,14.38207,0.028239585,0.02068966,0.03383303,0.03549746,0.026436297,0.9881849,0.43,0.551,0.583869,1.3193645,636.7157,0.2276,0.73549557,,,MARCS,4.4645,0.0176,7158.85056822912,37.841465,16901.323973910927,6.0014834,14006.51785485304,13.22115,,,2016.0,4905.2803,,
65211283024779904,Gaia DR3 65211283024779904,56.61683274163318,23.96844219836248,166.58124454720328,-23.71265544038298,59.73524275622942,3.9683585466868636,0.5790711303433927,0.49321808829523534,-2.1850828419787263,18.733969,19.003504,17.871937,0.2051935,0.14329377,0.24755928,0.26424795,0.18184821,0.9980318,0.0605,0.0789,0.26953506,1.131567,826.8697,0.033,0.86203194,,,MARCS,5.0498,-3.0778,341.9915346085494,20.79483,604.4486098609057,1.4863414,562.8379113914187,14.907339,,,2016.0,4367.5156,,
65211283024780544,Gaia DR3 65211283024780544,56.61757051256679,23.965207943069583,166.58416451528026,-23.714596494690504,59.73519079023994,3.9650551828398344,0.23318689968395193,0.15392209832363332,0.08570300542475018,19.169205,19.502302,18.646488,0.2830193,0.19968022,0.3432603,0.36532006,0.25372103,1.0515264,,,0.33309746,0.855814,,,0.5227165,,,,,,216.02111295483064,10.710974,404.82236395435115,1.2457551,275.7799466237481,9.362423,,,2016.0,,,
65212038939460352,Gaia DR3 65212038939460352,56.775688154936994,23.97268895737207,166.69534287472274,-23.611826367946218,59.87814613494161,3.9407233265733113,0.6265296579907977,2.1572733700372906,-3.5419761094132642,19.543417,20.033693,18.996847,0.44610956,0.34184527,0.50860083,0.66208124,0.4295645,1.0042804,,,0.49027634,1.0368462,,,0.5465698,,,,,,132.41564717482933,8.725891,286.800544820909,1.2704881,199.718928694479,9.296854,,,2016.0,,,
65217021103496704,Gaia DR3 65217021103496704,56.57279289229881,23.948896076346404,166.56304298613156,-23.754177804643017,59.69158389760081,3.958124002151268,,,,19.554834,19.421078,18.268484,11.985743,5.721676,,,,,,,-0.13375664,1.1525936,,,1.2863503,,,,,,232.80149566326804,46.492596,283.8002395605844,3.07686,390.62909398656564,61.127487,,,2016.0,,,
65217119887658752,Gaia DR3 65217119887658752,56.574642449295006,23.96362980824759,166.55359466155878,-23.742130110402353,59.696480784579805,3.9721266763911127,0.41290470063822504,3.9185207816346246,-5.635581863564851,18.45071,18.836111,17.628874,0.18230142,0.15506274,0.23719628,0.25665036,0.23364916,0.99639493,0.0112,0.0149,0.38540077,1.2072372,711.4724,0.006,0.8218365,,,PHOENIX,5.0378,-1.7883,398.9998623534024,36.040657,784.6261425587478,1.3748435,704.0588145735231,15.070376,,,2016.0,4205.5073,,
