Difference,Parameter,Reference,
-1.4200001,Gm,Hoyos et al. (2011),
-1.411199958,Gm,Hoyos et al. (2011),
-1.409600019,Gm,Hoyos et al. (2011),
-1.4000006,Gm,Hoyos et al. (2011),
-1.390400181,Gm,Hoyos et al. (2011),
-1.38,Gm,Hoyos et al. (2011),
-1.371200047,Gm,Hoyos et al. (2011),
-1.3700001,Gm,Hoyos et al. (2011),
-1.3549995,Gm,Hoyos et al. (2011),
-1.349600334,Gm,Hoyos et al. (2011),
-1.343200126,Gm,Hoyos et al. (2011),
-1.341199837,Gm,Hoyos et al. (2011),
-1.3399999,Gm,Hoyos et al. (2011),
-1.332000027,Gm,Hoyos et al. (2011),
-1.3199999,Gm,Hoyos et al. (2011),
-1.310000014,Gm,Hoyos et al. (2011),
-1.31,Gm,Hoyos et al. (2011),
-1.3,Gm,Hoyos et al. (2011),
-1.296799879,Gm,Hoyos et al. (2011),
-1.2951999,Gm,Hoyos et al. (2011),
-1.29,Gm,Hoyos et al. (2011),
-1.2810001,Gm,Hoyos et al. (2011),
-1.27,Gm,Hoyos et al. (2011),
-1.2642,Gm,Hoyos et al. (2011),
-1.2580004,Gm,Hoyos et al. (2011),
-1.25,Gm,Hoyos et al. (2011),
-1.2452,Gm,Hoyos et al. (2011),
-1.2399999,Gm,Hoyos et al. (2011),
-1.236400185,Gm,Hoyos et al. (2011),
-1.23,Gm,Hoyos et al. (2011),
-1.211600043,Gm,Hoyos et al. (2011),
-1.21079977,Gm,Hoyos et al. (2011),
-1.21,Gm,Hoyos et al. (2011),
-1.2030001,Gm,Hoyos et al. (2011),
-1.193999853,Gm,Hoyos et al. (2011),
-1.188399966,Gm,Hoyos et al. (2011),
-1.1802001,Gm,Hoyos et al. (2011),
-1.1740017,Gm,Hoyos et al. (2011),
-1.1666,Gm,Hoyos et al. (2011),
-1.164400034,Gm,Hoyos et al. (2011),
-1.161199985,Gm,Hoyos et al. (2011),
-1.16,Gm,Hoyos et al. (2011),
-1.1571999,Gm,Hoyos et al. (2011),
-1.1394001,Gm,Hoyos et al. (2011),
-1.120000033,Gm,Hoyos et al. (2011),
-1.1199999,Gm,Hoyos et al. (2011),
-1.115999956,Gm,Hoyos et al. (2011),
-1.110000005,Gm,Hoyos et al. (2011),
-1.093200097,Gm,Hoyos et al. (2011),
-1.086400156,Gm,Hoyos et al. (2011),
-1.0799999,Gm,Hoyos et al. (2011),
-1.068800154,Gm,Hoyos et al. (2011),
-1.068399944,Gm,Hoyos et al. (2011),
-1.062000046,Gm,Hoyos et al. (2011),
-1.06,Gm,Hoyos et al. (2011),
-1.0499997,Gm,Hoyos et al. (2011),
-1.049200068,Gm,Hoyos et al. (2011),
-1.03,Gm,Hoyos et al. (2011),
-1.03,Gm,Hoyos et al. (2011),
-1.027600107,Gm,Hoyos et al. (2011),
-1.023599997,Gm,Hoyos et al. (2011),
-1.0200002,Gm,Hoyos et al. (2011),
-1,Gm,Hoyos et al. (2011),
-0.998800044,Gm,Hoyos et al. (2011),
-0.98459995,Gm,Hoyos et al. (2011),
-0.9832001,Gm,Hoyos et al. (2011),
-0.98,Gm,Hoyos et al. (2011),
-0.970799999,Gm,Hoyos et al. (2011),
-0.966799822,Gm,Hoyos et al. (2011),
-0.9662,Gm,Hoyos et al. (2011),
-0.9624001,Gm,Hoyos et al. (2011),
-0.96099985,Gm,Hoyos et al. (2011),
-0.9500003,Gm,Hoyos et al. (2011),
-0.9499999,Gm,Hoyos et al. (2011),
